26512,3
29534,3
11323,1
14622,1
33365,1
2976,2
4715,2
25845,5
35591,8
1101,10
34694,10
7049,14
6781,1
19877,3
14603,8
19488,25
16534,3
24403,4
4026,14
5940,1
24873,1
28755,34
31650,2
28742,3
28424,5
32981,5
20668,7
18497,2
32021,2
3060,4
10360,10
25484,1
32498,2
9631,5
24275,5
27160,8
30026,7
9701,4
34190,12
551,15
27067,34
729,4
4879,19
20725,2
33682,2
26352,3
4606,5
14635,30
24037,1
19535,2
17046,1
5944,4
17534,6
22448,1
32825,1
1528,2
24579,3
36856,4
6629,8
4607,10
18632,3
7471,4
24504,4
36131,5
6948,5
13335,13
35481,1
35815,1
14987,3
9848,9
403,17
12565,3
3836,4
14197,5
24685,6
28231,25
18906,2
33925,3
24277,5
5657,6
22233,16
7268,1
9335,1
18777,1
20589,2
19640,4
37330,4
14031,8
32338,9
35081,1
20800,5
35246,6
4287,8
6472,11
15995,14
18692,1
24235,1
32290,2
16361,3
21785,6
15728,7
15849,7
250,3
36654,5
17295,6
18959,8
29269,14
30343,20
33799,34
36727,4
24461,6
14395,17
2454,1
33261,1
2267,4
12072,9
20557,1
10753,2
5552,3
4336,7
30873,7
9889,13
27993,18
35167,5
17267,9
23791,22
35513,22
3604,23
3123,2
4998,3
26846,7
1965,23
1700,2
26436,2
28757,2
31302,3
18316,4
23688,7
7152,14
11834,20
9652,4
35180,10
28582,15
30038,8
3509,12
605,8
18433,11
4860,12
18738,1
20575,5
14585,1
18220,1
33817,2
15558,3
22789,16
3908,3
21762,3
13661,4
34808,4
225,1
13237,1
33520,2
11661,10
37644,18
30168,2
14804,4
33884,5
10100,14
19114,33
2830,1
20054,6
24226,8
26656,9
24712,12
10819,1
4461,3
15551,23
7561,1
5906,2
19242,3
8717,7
36359,7
10634,8
298,19
5438,2
26759,2
1705,8
14299,12
11936,20
25988,1
3769,2
10992,2
3614,4
14142,4
21561,4
14677,6
652,11
32332,14
7734,3
27914,3
14001,5
22845,8
26053,33
35261,1
14538,2
11255,1
37677,3
13455,4
10970,9
31031,16
4946,17
30475,1
35840,2
27700,6
7081,23
6183,32
12969,1
9112,2
29501,2
21541,3
31746,9
32796,14
19258,1
7549,3
29709,3
25493,6
30267,2
3731,5
20025,6
15787,7
15060,8
19939,1
20102,1
24017,1
1169,2
8597,3
17045,3
34342,3
400,8
33104,17
21038,30
14457,2
9925,3
24144,3
32079,3
32519,3
24837,11
17546,14
23101,2
36094,2
14088,1
26708,2
32673,2
9915,3
22091,6
13819,12
18331,16
2704,19
32651,1
29377,2
26166,11
1970,1
7529,2
24018,2
6931,3
446,6
22990,6
2748,2
19785,2
32363,1
2595,5
31281,19
29992,1
13692,2
29450,3
13834,8
14227,16
1664,2
3882,2
16731,2
19173,2
294,3
11282,8
13155,10
36984,16
16166,20
21194,29
20869,2
25826,4
3841,18
28139,21
6452,33
2200,1
25596,1
10999,3
8473,10
14614,14
10867,5
12110,5
24308,5
8374,7
20463,7
16348,9
27697,1
27905,3
25525,5
31161,5
18559,8
26979,34
2519,1
14899,1
11649,3
19981,14
20674,19
26070,3
21167,9
19355,10
15215,1
25956,1
35444,2
32096,3
14939,7
8968,8
29799,8
36487,8
36135,14
10086,14
30571,16
5942,1
32214,1
18176,5
22027,5
4270,1
21386,4
29166,9
5806,10
28016,5
24073,20
25257,7
7774,9
32538,20
6391,1
14808,1
5359,3
17089,4
17822,8
13372,1
8939,1
33722,2
8889,3
9124,6
26333,9
26636,9
25421,21
5019,5
7723,21
29205,8
24660,1
24247,2
27245,6
14669,9
15781,11
7098,2
21940,4
32770,4
9478,8
35764,15
37530,15
585,1
18500,2
10308,8
36773,8
1943,2
8218,4
34605,26
15833,1
13725,3
30954,12
8951,14
24709,18
13961,1
33460,3
34244,5
18018,6
34581,9
7097,10
33557,18
17584,1
36259,9
30796,12
35226,2
24895,1
37568,1
37639,3
7033,4
13640,12
15602,23
33981,3
25686,15
22874,15
21568,1
28912,1
34151,1
35064,9
12089,15
30342,17
36208,24
9394,1
23861,2
30501,3
33918,3
17119,9
17904,1
29604,5
28438,7
20267,8
6250,22
22012,1
14501,14
24448,14
21337,21
4799,1
10779,1
12882,1
2306,2
10964,2
14201,3
8622,14
8831,25
8579,1
14167,1
1380,4
14164,4
27775,8
32630,13
9787,14
14756,2
5583,3
11110,3
7736,4
14051,5
20838,11
6141,19
3046,1
32820,3
5645,5
16568,1
7341,3
9182,5
22066,6
14274,10
1983,2
35091,2
12829,3
22306,7
14498,18
4210,33
34272,2
8266,3
139,7
23352,13
1927,1
31196,2
13281,4
22852,4
6785,6
29201,28
33526,1
9593,6
34246,14
16718,14
21348,22
30593,1
33013,3
8030,4
18190,4
19914,5
23936,7
34078,10
11243,10
13257,13
23618,2
9866,5
30508,1
22256,4
25600,4
35069,4
14155,10
20174,15
24906,19
18094,2
15718,7
5451,9
35269,16
101,18
506,24
10572,1
34780,1
23355,4
22998,8
29831,12
33227,15
7847,18
23208,2
26769,3
35181,10
25821,1
20732,9
13289,4
17618,5
